sic_code,company_name,symbol,year,rq,rq_trend,aq,aq_trend,rd,rstar,rd_under_ratio,rd_under_trend,rd_under_amt,rd_increase_profit,rd_cut_profit,adv,astar,adv_under_ratio,adv_under_trend,adv_under_amt,adv_increase_profit,adv_cut_profit
3564,CECO ENVIRONMENTAL CORP,CECE,2008,71.9,,100.9,,0,,,,,,,1,5.7,0.17,,4.7,218.5,
3564,CECO ENVIRONMENTAL CORP,CECE,2009,77.3,,104.8,,0.1,,,,,,,0.6,6,0.1,,5.4,139.5,
3564,CECO ENVIRONMENTAL CORP,CECE,2010,75.5,,105.5,,0,,,,,,,0.3,5.1,0.06,,4.8,141.2,
3564,CECO ENVIRONMENTAL CORP,CECE,2011,77.1,0.36,99.2,1.4,0.1,,,,,,,0.2,3.3,0.06,0.54,3.1,139.6,
3825,AEROFLEX INC,ARXX,2005,98,,,,54.2,42.9,1.26,,,,11.3,0,,,,,,
3825,AEROFLEX INC,ARXX,2006,100.2,,,,64.4,52.1,1.24,,,,12.3,0,,,,,,
3670,AVX CORP,AVX,2005,91.6,,,,11,86.8,0.13,,75.7,1340.3,,0,,,,,,
3670,AVX CORP,AVX,2006,84.7,,,,10.9,31.6,0.34,,20.7,1500.7,,0,,,,,,
3670,AVX CORP,AVX,2007,79.8,,,,11.3,,,,,,,0,,,,,,
3670,AVX CORP,AVX,2008,83.4,,,,12.8,16.7,0.77,,3.9,1390.4,,0,,,,,,
3670,AVX CORP,AVX,2009,92.7,,,,11.7,98.3,0.12,,86.6,1312.6,,0,,,,,,
3670,AVX CORP,AVX,2010,94.5,1.27,,1.73,6.8,134.7,0.05,0.4,127.9,1665.5,,0,,,,,,
3670,AVX CORP,AVX,2011,93.7,3.31,,1.38,7.4,128.6,0.06,0.17,121.2,1555.9,,0,,,,,,
3670,AVX CORP,AVX,2012,89.7,-8.19,,0.46,7.7,85.8,0.09,,78.1,1420.8,,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2005,98.5,,,,1975.8,1684.7,1.17,,,,291.1,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2006,96.1,,,,1838.3,1725,1.07,,,,113.3,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2007,92.9,,,,4269.3,1449.1,2.95,,,,2820.2,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2008,92.4,,,,2505.6,1598.5,1.57,,,,907.1,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2009,98.1,,,,2786.1,2830.9,0.98,,44.8,30791,,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2010,98.1,0.98,,-0.66,2913.7,3499.1,0.83,0.71,585.4,35225.1,,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2011,99.5,1.23,,11.92,4037.6,4050.3,1,0.94,12.6,38865.4,,0,,,,,,
2834,ABBOTT LABORATORIES,ABT,2012,99,1.5,,7.59,4801.9,4092.9,1.17,0.4,,,709,0,,,,,,
5160,ACETO CORP,ACET,2005,58.8,,,,0.2,,,,,,,0,,,,,,
5160,ACETO CORP,ACET,2007,55.8,,,,0,,,,,,,0,,,,,,
5160,ACETO CORP,ACET,2008,60.1,,,,0,,,,,,,0,,,,,,
5160,ACETO CORP,ACET,2009,72.5,,,,0.5,,,,,,,0,,,,,,
5160,ACETO CORP,ACET,2010,73.1,,,,0.2,,,,,,,0,,,,,,
3420,ACME UNITED CORP,ACU,2005,94.8,,89.3,,0.5,4.1,0.11,,3.6,50.3,,1.3,0.2,6.71,,,,1.1
3420,ACME UNITED CORP,ACU,2006,93.7,,92.5,,0.2,4.1,0.06,,3.9,57.3,,1.3,0.5,2.45,,,,0.8
3420,ACME UNITED CORP,ACU,2007,83.1,,97.1,,0.3,0.6,0.49,,0.3,63.2,,1.1,1.1,0.98,,0,63.2,
3420,ACME UNITED CORP,ACU,2008,83.6,,99.6,,0.2,0.8,0.28,,0.6,68.8,,1.2,1.5,0.78,,0.3,68.8,
3420,ACME UNITED CORP,ACU,2009,82.2,,101.7,,0.3,0.4,0.6,,0.2,59.2,,1.1,1.9,0.57,,0.8,59.2,
3420,ACME UNITED CORP,ACU,2010,85.1,0.3,101,7.16,0.4,1.5,0.3,2.69,1,63.3,,1,1.9,0.55,0.08,0.8,63.2,
3420,ACME UNITED CORP,ACU,2011,86,0.4,101.3,2.74,0.5,2.1,0.23,3.88,1.6,73.5,,1.2,2.3,0.55,0.22,1,73.4,
3420,ACME UNITED CORP,ACU,2012,89.8,3.91,93.1,0.59,0.5,4.4,0.12,0.25,3.9,84.7,,1.5,1,1.49,1.51,,,0.5
7372,ACTIVISION INC,ATVI.1,2005,125.3,,94.8,,86.5,913.5,0.09,,827,1497.1,,192.6,32.3,5.96,,,,160.3
7372,ACTIVISION INC,ATVI.1,2006,120.6,,96.4,,132.7,635.5,0.21,,502.8,1534.6,,98.4,39.5,2.49,,,,58.9
7372,ACTIVISION INC,ATVI.1,2007,116,,98.6,,133.1,629.7,0.21,,496.6,2943.7,,180.3,57.3,3.14,,,,123
3663,RELM WIRELESS CORP,RWC,2005,95.4,,94.9,,1.9,1.8,1.02,,,,0,0.4,0.4,1.09,,,,0
3663,RELM WIRELESS CORP,RWC,2006,106.6,,96.5,,2.4,4.2,0.57,,1.8,32.7,,0.7,0.6,1.32,,,,0.2
3663,RELM WIRELESS CORP,RWC,2007,97.9,,97.6,,3.1,2.6,1.17,,,,0.4,0.4,0.7,0.64,,0.2,27,
3663,RELM WIRELESS CORP,RWC,2008,97.1,,99.5,,2.9,2.3,1.3,,,,0.7,0.4,0.7,0.57,,0.3,19.2,
3663,RELM WIRELESS CORP,RWC,2009,99.1,,100.7,,4.5,2.7,1.7,,,,1.9,0.3,0.9,0.34,,0.6,28,
3663,RELM WIRELESS CORP,RWC,2010,98.3,1.19,101.7,1.9,3.6,2.7,1.3,1.28,,,0.8,0.3,1,0.33,0.31,0.7,26,
3663,RELM WIRELESS CORP,RWC,2011,95.3,0.56,102.4,1.65,4.9,2.1,2.31,4.05,,,2.8,0.3,1,0.35,0.27,0.6,24.2,
3663,RELM WIRELESS CORP,RWC,2012,96.7,0.93,93.4,0.59,4.4,2.4,1.87,1.6,,,2,0.3,0.4,0.65,1.01,0.1,27.6,
3674,ADVANCED MICRO DEVICES,AMD,2005,103.7,,95.3,,934.6,395.3,2.36,,,,539.2,333,60.9,5.47,,,,272.1
3674,ADVANCED MICRO DEVICES,AMD,2006,102.3,,96.8,,1144,647.3,1.77,,,,496.7,515,120.4,4.28,,,,394.6
3674,ADVANCED MICRO DEVICES,AMD,2007,95.2,,98,,1621,431.2,3.76,,,,1189.8,555,141.8,3.91,,,,413.2
3674,ADVANCED MICRO DEVICES,AMD,2008,98.4,,100.3,,1847,475,3.89,,,,1372,520,158.9,3.27,,,,361.1
3674,ADVANCED MICRO DEVICES,AMD,2009,102.5,,,,1848,537.9,3.44,,,,1310.1,0,,,,,,
3674,ADVANCED MICRO DEVICES,AMD,2010,108.7,1.22,,-0.51,1721,659.1,2.61,1.1,,,1061.9,0,,,,,,
3674,ADVANCED MICRO DEVICES,AMD,2011,108.8,1.3,,-0.7,1405,780.8,1.8,1.02,,,624.2,0,,,,,,
3674,ADVANCED MICRO DEVICES,AMD,2012,113.6,2.28,,-0.79,1453,935.1,1.55,0.41,,,517.9,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2005,93.1,,,,114.9,53.6,2.14,,,,61.3,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2006,88.2,,,,119.2,46.8,2.55,,,,72.4,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2007,84.5,,,,116.3,26.3,4.42,,,,90,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2008,87.9,,,,121.9,46.8,2.61,,,,75.1,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2009,93.9,,,,104.4,87.3,1.2,,,,17.1,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2010,94.3,1.1,,2,90,125.3,0.72,0.34,35.3,1626.2,,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2011,91.3,1.42,,2.16,104.5,103.3,1.01,0.4,,,1.2,0,,,,,,
3559,ASM INTERNATIONAL NV,ASMI,2012,84.9,1.11,,0.81,167.9,43.3,3.87,0.88,,,124.5,0,,,,,,
3812,AEROSONIC CORP,AIM,2005,90.7,,,,0.8,1.8,0.43,,1,34.9,,0,,,,,,
3812,AEROSONIC CORP,AIM,2006,87.4,,,,0.7,1,0.66,,0.4,31.3,,0,,,,,,
3812,AEROSONIC CORP,AIM,2007,86.8,,,,0.5,0.8,0.55,,0.4,25.5,,0,,,,,,
3812,AEROSONIC CORP,AIM,2008,89,,,,0.9,1,0.96,,0,20.5,,0,,,,,,
3812,AEROSONIC CORP,AIM,2009,96.4,,,,0.6,2.8,0.22,,2.1,31.4,,0,,,,,,
3812,AEROSONIC CORP,AIM,2010,96.5,1.58,,1.82,1.4,3.1,0.46,1.09,1.6,29.7,,0,,,,,,
3812,AEROSONIC CORP,AIM,2011,92.3,1.75,,1.47,3.8,2.1,1.84,2.8,,,1.7,0,,,,,,
3812,AEROSONIC CORP,AIM,2012,89.6,1.48,,0.79,2.6,1.6,1.64,3,,,1,0,,,,,,
4899,IDNA INC,IDAI,2006,85.9,,,,0.1,0.5,0.16,,0.4,15.5,,0,,,,,,
4899,IDNA INC,IDAI,2007,86.9,,,,0.4,0.5,0.85,,0.1,14.6,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2005,100.2,,,,126.7,1003.4,0.13,,876.7,8221.5,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2006,97.2,,,,132.7,869,0.15,,736.3,8920.2,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2007,92.9,,,,151.4,666.9,0.23,,515.5,10092.1,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2008,96.2,,,,140.2,891.7,0.16,,751.5,10492.6,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2009,100.6,,,,130.7,1228.4,0.11,,1097.7,8337.1,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2010,100.8,1.03,,1.79,116.3,1279.1,0.09,0.72,1162.8,9117.8,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2011,99.6,1.15,,1.38,114.7,1310.9,0.09,0.57,1196.2,10179.4,,0,,,,,,
2810,AIR PRODUCTS & CHEMICALS INC,APD,2012,97.9,1.41,,0.44,118.8,1335.1,0.09,0.39,1216.3,9693.9,,0,,,,,,
9995,ALANCO TECHNOLOGIES INC,3ALAN,2005,89.9,,,,0.3,0.3,0.8,,0.1,7.2,,0,,,,,,
9995,ALANCO TECHNOLOGIES INC,3ALAN,2006,80.5,,,,0.5,,,,,,,0,,,,,,
9995,ALANCO TECHNOLOGIES INC,3ALAN,2007,80.7,,,,0.3,,,,,,,0,,,,,,
9995,ALANCO TECHNOLOGIES INC,3ALAN,2008,93.9,,,,0.9,0.9,0.98,,0,17.3,,0,,,,,,
9995,ALANCO TECHNOLOGIES INC,3ALAN,2009,102.7,,,,0.8,1.9,0.42,,1.1,19.3,,0,,,,,,
9995,ALANCO TECHNOLOGIES INC,3ALAN,2010,112.1,3.44,,-5.89,0.8,2.3,0.34,0.43,1.5,14.8,,0,,,,,,
3841,ATRION CORP,ATRI,2005,95.4,,93.3,,2.4,7.2,0.33,,4.8,72.5,,0.2,1.1,0.2,,0.9,72.2,
3841,ATRION CORP,ATRI,2006,92.4,,94.2,,2.4,5.9,0.41,,3.5,81.3,,0.2,1.4,0.14,,1.2,81.1,
3841,ATRION CORP,ATRI,2007,89,,95.5,,2.8,4.3,0.64,,1.5,88.7,,0.3,1.8,0.15,,1.5,88.7,
3841,ATRION CORP,ATRI,2008,91.9,,95.5,,2.8,6,0.47,,3.2,96.2,,0.3,1.8,0.14,,1.5,96.1,
3841,ATRION CORP,ATRI,2009,97.4,,96.1,,3,9.6,0.31,,6.6,101.3,,0.1,1.9,0.07,,1.8,100.8,
3841,ATRION CORP,ATRI,2010,98.7,1.22,97.6,1.73,3.1,10.3,0.3,0.9,7.3,109.4,,0.1,2.3,0.05,0.26,2.2,108.8,
3841,ATRION CORP,ATRI,2011,97.6,1.45,96.6,1.37,2.7,10.7,0.25,0.62,8,118.6,,0.1,2.3,0.04,0.3,2.2,117.9,
3841,ATRION CORP,ATRI,2012,96.1,1.89,,-0.53,2.9,11.5,0.25,0.39,8.6,119.8,,0,,,,,,
2844,ALBERTO-CULVER CO,ACV,2005,100.9,,,,11.7,659.9,0.02,,648.2,3570.7,,0,,,,,,
2844,ALBERTO-CULVER CO,ACV,2006,117.1,,,,13.4,1144.4,0.01,,1131,3849.7,,0,,,,,,
2844,ALBERTO-CULVER CO,ACV,2007,109.4,,,,14.9,447.2,0.03,,432.3,1565.5,,0,,,,,,
2844,ALBERTO-CULVER CO,ACV,2008,110.8,,,,15.8,438.3,0.04,,422.5,1466.8,,0,,,,,,
2844,ALBERTO-CULVER CO,ACV,2009,109.2,,,,13.4,429.6,0.03,,416.2,1456.1,,0,,,,,,
2844,ALBERTO-CULVER CO,ACV,2010,108,1.36,,-0.16,15.2,416.6,0.04,2.06,401.4,1622,,0,,,,,,
3350,ALCAN INC,AL.1,2005,105.9,,,,239,4073.5,0.06,,3834.5,20589,,0,,,,,,
3350,ALCAN INC,AL.1,2006,109.1,,,,227,5543.6,0.04,,5316.6,24003.6,,0,,,,,,
2836,TAMIR BIOTHECHNOLOGY INC,ACEL,2010,93.6,,,,3.3,0,3778.43,,,,3.3,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2005,98.9,,,,917,3136.5,0.29,,2219.5,27849.1,,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2006,96.8,,,,1072,2822.9,0.38,,1750.9,31548.3,,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2007,92.9,,,,1411,2187.9,0.64,,776.9,34687.9,,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2008,96.8,,,,1459,3225.3,0.45,,1766.3,36745.9,,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2009,100.3,,,,1543,4119.2,0.37,,2576.2,31099.1,,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2010,100.1,1.06,,2,1330,4392,0.3,1.04,3062,33606.4,,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2011,99.3,1.15,,1.61,1466,4351,0.34,0.89,2885,36770.1,,0,,,,,,
3728,HONEYWELL INTERNATIONAL INC,HON,2012,97.4,1.37,,0.49,1799,3900.5,0.46,0.72,2101.5,37843.8,,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2005,97.1,,,,152.6,60.9,2.51,,,,91.7,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2006,97.4,,,,152.2,63.4,2.4,,,,88.8,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2007,97.5,,,,164.1,54.7,3,,,,109.4,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2008,100.1,,,,126.1,67.6,1.87,,,,58.5,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2009,95.7,,,,146,57.1,2.56,,,,88.9,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2010,97.1,1,,2,124,78.6,1.58,0.63,,,45.4,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2011,95.3,0.87,,1.59,134.1,93,1.44,0.6,,,41.2,0,,,,,,
3674,SKYWORKS SOLUTIONS INC,SWKS,2012,89.3,0.51,,0.58,168.6,64.6,2.61,0.87,,,104,0,,,,,,
3350,ALCOA INC,AA,2005,98.1,,,,182,3175,0.06,,2993,26400.2,,0,,,,,,
3350,ALCOA INC,AA,2006,95,,,,194,2512.4,0.08,,2318.4,30606.7,,0,,,,,,
3350,ALCOA INC,AA,2007,90,,,,213,1423.6,0.15,,1210.6,30888.4,,0,,,,,,
3350,ALCOA INC,AA,2008,94.9,,,,249,2159.8,0.12,,1910.8,27094.1,,0,,,,,,
3350,ALCOA INC,AA,2009,99.5,,,,246,2550.3,0.1,,2304.3,18612.3,,0,,,,,,
3350,ALCOA INC,AA,2010,99.8,1.1,,1.82,169,2832.1,0.06,1.04,2663.1,21224.7,,0,,,,,,
3350,ALCOA INC,AA,2011,98.5,1.25,,1.4,174,2873.9,0.06,0.78,2699.9,25187.6,,0,,,,,,
3350,ALCOA INC,AA,2012,94.6,1.5,,0.44,184,2141.4,0.09,0.57,1957.4,23868.8,,0,,,,,,
7373,SENTO CORP,SNTO,2005,117.4,,94.8,,0.3,43,0.01,,42.7,52.2,,0.4,1.2,0.3,,0.8,51.2,
2670,AMERICAN BILTRITE INC,ABLT,2005,102.2,,,,5.8,54.5,0.11,,48.7,450.1,,0,,,,,,
2670,AMERICAN BILTRITE INC,ABLT,2006,101,,96.2,,6.3,63.7,0.1,,57.4,440,,1.6,8.9,0.18,,7.3,436.3,
2670,AMERICAN BILTRITE INC,ABLT,2007,95.5,,97.5,,6.2,40.5,0.15,,34.3,423.6,,2.6,10.1,0.26,,7.5,421.5,
2670,AMERICAN BILTRITE INC,ABLT,2008,98,,97.3,,6.2,45,0.14,,38.8,378.2,,2.4,8.9,0.27,,6.5,375.7,
2670,AMERICAN BILTRITE INC,ABLT,2009,100.4,,95,,6,46.4,0.13,,40.4,310.8,,1.4,6,0.23,,4.6,308.3,
2670,AMERICAN BILTRITE INC,ABLT,2010,100.4,0.92,91.3,0.83,4.2,24.2,0.17,1.62,20,203.5,,1.2,1.6,0.76,,0.4,201.7,
2670,AMERICAN BILTRITE INC,ABLT,2011,94.5,0.68,92.3,0.56,1.7,16.4,0.1,1.05,14.7,210.2,,1.3,2,0.65,3.61,0.7,208.8,
2085,BEAM INC,BEAM,2005,98.2,,93.9,,68.7,868.8,0.08,,800.1,6795.2,,471.1,99,4.76,,,,372.1
2085,BEAM INC,BEAM,2006,94.3,,95.5,,65.9,758.8,0.09,,692.9,8312.3,,611.3,148.4,4.12,,,,462.9
2085,BEAM INC,BEAM,2007,89.2,,97,,72.7,372.9,0.19,,300.2,8083.4,,700.1,156.3,4.48,,,,543.8
2085,BEAM INC,BEAM,2008,93.2,,98.3,,80.7,524.8,0.15,,444.1,7147.5,,705.5,158.7,4.44,,,,546.8
2085,BEAM INC,BEAM,2009,97.8,,100,,71.2,752.3,0.09,,681.1,6258.7,,629.2,173.8,3.62,,,,455.4
2085,BEAM INC,BEAM,2010,97.9,0.98,100.9,2.09,67.8,798.7,0.08,1.07,730.9,6628.2,,681.6,192.9,3.53,0.74,,,488.7
2085,BEAM INC,BEAM,2011,104.7,1.77,104.6,2.13,70.7,320.9,0.22,2.54,250.2,2288.8,,302.3,71.9,4.2,1.02,,,230.4
2085,BEAM INC,BEAM,2012,83.2,0.28,96.2,0.92,2.5,30.8,0.08,0.42,28.3,2469,,335.2,43.2,7.76,1.73,,,292
2834,WYETH,WYE,2005,98.2,,92.3,,2460.6,1845.6,1.33,,,,615,591,218.3,2.71,,,,372.7
2834,WYETH,WYE,2006,95.6,,93.3,,2749.4,1637.1,1.68,,,,1112.3,729.6,275.7,2.65,,,,453.9
2834,WYETH,WYE,2007,90.6,,94.9,,3109.1,1122.6,2.77,,,,1986.4,782.4,369.4,2.12,,,,413
2834,WYETH,WYE,2008,93.9,,95.1,,3256.8,1425.7,2.28,,,,1831.1,721.4,361.9,1.99,,,,359.5
2540,AMERICAN LOCKER GROUP INC,ALGI,2005,81.5,,93.3,,0.2,0.1,1.14,,,,0,0.2,0.5,0.37,,0.3,32.3,
2540,AMERICAN LOCKER GROUP INC,ALGI,2006,89.7,,95,,0,2.2,0.01,,2.2,25.2,,0.2,0.6,0.38,,0.4,25.1,
2540,AMERICAN LOCKER GROUP INC,ALGI,2007,89.4,,95.9,,0.3,1.7,0.2,,1.3,20.3,,0.6,0.6,0.97,,0,20.2,
2540,AMERICAN LOCKER GROUP INC,ALGI,2008,84.1,,96.7,,0.3,0.5,0.66,,0.2,14.1,,0.2,0.6,0.39,,0.3,14.1,
2540,AMERICAN LOCKER GROUP INC,ALGI,2009,90.9,,98.7,,0.2,1.2,0.17,,1,12.6,,0.2,0.5,0.29,,0.4,12.5,
2540,AMERICAN LOCKER GROUP INC,ALGI,2010,93,19.12,101.5,2.39,0.1,1.4,0.1,0.09,1.2,12.2,,0.1,0.6,0.23,0.62,0.4,12.1,
2540,AMERICAN LOCKER GROUP INC,ALGI,2011,84.7,0.44,104.5,2.24,0.1,0.4,0.29,19.74,0.3,13.4,,0.1,0.7,0.21,0.56,0.5,13.4,
2540,AMERICAN LOCKER GROUP INC,ALGI,2012,81.5,0.08,96.1,1.03,0.1,0.1,1.4,7.14,,,0,0.2,0.3,0.55,0.56,0.1,13.7,
7380,AMERICAN MEDICAL ALERT CORP,AMAC,2005,91.9,,,,0.2,2.1,0.07,,2,22.6,,0,,,,,,
7380,AMERICAN MEDICAL ALERT CORP,AMAC,2006,99.7,,,,0.2,5.7,0.03,,5.5,31.1,,0,,,,,,
7380,AMERICAN MEDICAL ALERT CORP,AMAC,2007,98.9,,97.5,,0.2,8.1,0.03,,7.9,36,,0.4,1.3,0.31,,0.9,35.7,
7380,AMERICAN MEDICAL ALERT CORP,AMAC,2008,102.9,,96.4,,0.3,8.8,0.03,,8.5,39,,1.1,0.9,1.2,,,,0.2
7380,AMERICAN MEDICAL ALERT CORP,AMAC,2009,106.6,,95.7,,0.3,11.5,0.03,,11.1,40,,0.6,0.9,0.65,,0.3,39.5,
7380,AMERICAN MEDICAL ALERT CORP,AMAC,2010,107.9,2.44,95.6,0.85,0.3,11.6,0.03,0.37,11.3,41.4,,1.4,0.8,1.75,,,,0.6
2810,AMERICAN PACIFIC CORP,APFC,2011,97.4,,,,1,27.2,0.04,,26.2,211.6,,0,,,,,,
3844,AMERICAN SCIENCE ENGINEERING,ASEI,2005,105.7,,,,5.7,17.6,0.33,,11.9,165.4,,0,,,,,,
3844,AMERICAN SCIENCE ENGINEERING,ASEI,2006,105.6,,,,9.6,22.8,0.42,,13.2,154.4,,0,,,,,,
3844,AMERICAN SCIENCE ENGINEERING,ASEI,2007,101.2,,,,7.2,18.8,0.38,,11.6,168,,0,,,,,,
3844,AMERICAN SCIENCE ENGINEERING,ASEI,2008,105,,,,12.3,28,0.44,,15.7,220.2,,0,,,,,,
3844,AMERICAN SCIENCE ENGINEERING,ASEI,2009,109.7,,,,18.1,42,0.43,,23.9,244.3,,0,,,,,,
3844,AMERICAN SCIENCE ENGINEERING,ASEI,2010,112.4,1.27,,-2.16,19.8,54.3,0.36,1.12,34.5,281.7,,0,,,,,,
3844,AMERICAN SCIENCE ENGINEERING,ASEI,2011,109,1.14,,-1.49,22.6,44.3,0.51,1.21,21.7,204.6,,0,,,,,,
7372,AMERICAN SOFTWARE  -CL A,AMSWA,2005,95.4,,,,4.9,5.2,0.94,,0.3,76.8,,0,,,,,,
7372,AMERICAN SOFTWARE  -CL A,AMSWA,2006,96.1,,,,6.7,5.7,1.18,,,,1,0,,,,,,
7372,AMERICAN SOFTWARE  -CL A,AMSWA,2007,95,,96,,7.6,6.5,1.17,,,,1.1,2.3,1.6,1.42,,,,0.7
7372,AMERICAN SOFTWARE  -CL A,AMSWA,2008,100.2,,95.4,,7.5,8.9,0.84,,1.4,78.1,,1.6,1.5,1.08,,,,0.1
7372,AMERICAN SOFTWARE  -CL A,AMSWA,2009,103.9,,93.3,,7.2,11.2,0.64,,4,75.6,,1.5,1.1,1.37,,,,0.4
7372,AMERICAN SOFTWARE  -CL A,AMSWA,2010,104,1.59,92.4,1.51,6.7,11.5,0.58,0.62,4.8,86.1,,1.7,0.9,1.83,,,,0.8
7372,AMERICAN SOFTWARE  -CL A,AMSWA,2011,104,1.51,92,1.01,7.4,12.9,0.57,0.49,5.5,103.3,,1.8,1,1.86,,,,0.8
3585,TRANE INC,TT.2,2005,96.3,,93.7,,140,956.6,0.15,,816.6,10341.4,,136,133,1.02,,,,3
3585,TRANE INC,TT.2,2006,91.2,,95.4,,114,632.2,0.18,,518.2,11263.6,,146,179.4,0.81,,33.4,11214.6,
3585,TRANE INC,TT.2,2007,91.9,,97.1,,126,354.7,0.36,,228.7,7484.1,,94,119.7,0.79,,25.7,7457.1,
3670,AMERICAN TECHNICAL CERAMICS,AMK.2,2005,88.9,,,,3.1,3.9,0.79,,0.8,73,,0,,,,,,
3670,AMERICAN TECHNICAL CERAMICS,AMK.2,2006,82.4,,,,2.2,0.8,2.79,,,,1.4,0,,,,,,
2870,AMERICAN VANGUARD CORP,AVD,2005,109.1,,91.8,,3.1,46,0.07,,42.9,192.6,,1,1.8,0.57,,0.8,189.9,
2870,AMERICAN VANGUARD CORP,AVD,2006,105.8,,93.3,,2.9,38.8,0.07,,36,196.3,,1.3,2.6,0.5,,1.3,193.9,
2870,AMERICAN VANGUARD CORP,AVD,2007,100,,96,,2.9,24.4,0.12,,21.6,218.8,,1.7,3.6,0.48,,1.8,216.9,
2870,AMERICAN VANGUARD CORP,AVD,2008,100.2,,97.6,,2,30.3,0.07,,28.3,240,,3.3,4.8,0.68,,1.5,237.8,
2870,AMERICAN VANGUARD CORP,AVD,2009,102.9,,102.2,,3.4,39.1,0.09,,35.7,210.2,,2.6,8.1,0.33,,5.5,208.4,
